Date,Open,Close,High,Low
9/2/2022,1697.14,1712.44,1717.73,1694.98
9/3/2022,1712.44,1712.44,1712.44,1712.44
9/4/2022,1712.44,1712.44,1712.44,1712.44
9/5/2022,1712.44,1710.56,1715.7,1707.85
9/6/2022,1710.91,1701.51,1726.15,1699.93
9/7/2022,1702.43,1718.36,1719.35,1691.53
9/8/2022,1718.43,1707.54,1727.83,1704.1
9/9/2022,1708.78,1717.05,1729.23,1708.63
9/10/2022,1717.05,1717.05,1717.05,1717.05
9/11/2022,1717.05,1717.05,1717.05,1717.05
9/12/2022,1718.3,1724.76,1734.75,1712.03
9/13/2022,1724.75,1701.93,1731.48,1697.24
9/14/2022,1700.88,1696.05,1706.85,1693.61
9/15/2022,1697.36,1664.27,1698.25,1660.47
9/16/2022,1664.2,1672.66,1679.99,1654.43
9/17/2022,1672.66,1672.66,1672.66,1672.66
9/18/2022,1672.66,1672.66,1672.66,1672.66
9/19/2022,1674.35,1676.09,1680.03,1659.99
9/20/2022,1675.66,1663.67,1679.2,1660.01
9/21/2022,1664.96,1674.28,1687.41,1654.79
9/22/2022,1671.56,1671.31,1684.6,1656.15
9/23/2022,1671.3,1644.09,1675.7,1639.99
9/24/2022,1644.09,1644.09,1644.09,1644.09
9/25/2022,1644.09,1644.09,1644.09,1644.09
9/26/2022,1642.61,1622.12,1649.55,1621.2
9/27/2022,1624.35,1629.09,1642.15,1623.91
9/28/2022,1629.47,1659.7,1662.75,1615.05
9/29/2022,1659.25,1660.8,1664.55,1641.53
9/30/2022,1662.18,1660.67,1674.95,1659.35
10/1/2022,1660.67,1660.67,1660.67,1660.67
10/2/2022,1660.67,1660.67,1660.67,1660.67
10/3/2022,1664,1699.85,1701.2,1659.7
10/4/2022,1698.97,1726.51,1729.08,1695.07
10/5/2022,1724.85,1716.06,1727.61,1701.06
10/6/2022,1715.38,1711.11,1725.4,1707.05
10/7/2022,1711.63,1694.79,1714.75,1691.03
10/8/2022,1694.79,1694.79,1694.79,1694.79
10/9/2022,1694.79,1694.79,1694.79,1694.79
10/10/2022,1696.25,1668.51,1699.88,1665.83
10/11/2022,1668.25,1666.1,1683.85,1661.16
10/12/2022,1666.59,1673.27,1678.07,1661.45
10/13/2022,1673.87,1666.32,1682.05,1642.96
10/14/2022,1665.9,1644.45,1671.44,1640.39
10/15/2022,1644.45,1644.45,1644.45,1644.45
10/16/2022,0,1644.45,0,0
10/17/2022,1644.45,1650.47,1668.1,1644.2
10/18/2022,1650.8,1652.38,1660.78,1646.12
10/19/2022,1652.34,1629.15,1654.4,1627.85
10/20/2022,1629.36,1628.19,1645.17,1622.44
10/21/2022,1628.07,1657.66,1657.84,1618.06
10/22/2022,1657.66,1657.66,1657.66,1657.66
10/23/2022,0,1657.66,0,0
10/24/2022,1661.84,1649.7,1669.02,1644.08
10/25/2022,1650.07,1653.22,1660.44,1638.23
10/26/2022,1651.64,1664.77,1674.48,1649.53
10/27/2022,1664.38,1663.32,1670.34,1655.52
10/28/2022,1661.86,1642.76,1666.91,1638.29
10/29/2022,1642.76,1642.76,1642.76,1642.76
10/30/2022,0,1644.38,1644.71,1642.11
10/31/2022,1644.49,1632.85,1645.38,1631.81
11/1/2022,1632.95,1646.43,1656.43,1631.02
11/2/2022,1646.96,1633.55,1668.9,1633.43
11/3/2022,1632.57,1630.22,1640.7,1616.59
11/4/2022,1630.05,1681.27,1681.56,1629.24
11/5/2022,1681.27,1681.27,1681.27,1681.27
11/6/2022,0,1681.34,1681.34,0
11/7/2022,1675.91,1675.39,1681.31,1666.81
11/8/2022,1674.55,1713.33,1716.8,1664.8
11/9/2022,1711.09,1706.67,1722.03,1702.2
11/10/2022,1705.87,1755.15,1756.85,1703.67
11/11/2022,1753.35,1770.7,1772.67,1747.28
11/12/2022,1770.7,1770.7,1770.7,1770.7
11/13/2022,1770.7,1770.7,1770.7,1770.7
11/14/2022,1763.79,1770.73,1774.78,1753.39
11/15/2022,1770.6,1779.2,1786.01,1766.97
11/16/2022,1778.5,1773.22,1785,1770.21
11/17/2022,1772.97,1760.18,1774.61,1754.69
11/18/2022,1760.56,1749.97,1767.41,1747.45
11/19/2022,1749.97,1749.97,1749.97,1749.97
11/20/2022,0,1750.55,1750.55,0
11/21/2022,1751.29,1737.84,1753.04,1732.4
11/22/2022,1738.72,1739.86,1749.31,1737.05
11/23/2022,1740.07,1750.77,1752.48,1728.5
11/24/2022,1749.86,1756.17,1758.58,1749.45
11/25/2022,1754.93,1754.58,1760.99,1745.86
11/26/2022,1754.58,1754.58,1754.58,1754.58
11/27/2022,0,1754.58,0,0
11/28/2022,1754.58,1740.84,1763.47,1739.52
11/29/2022,1740.68,1748.9,1758.73,1740.08
11/30/2022,1749,1768,1769.89,1744.78
12/1/2022,1770.36,1803.22,1803.41,1769.52
12/2/2022,1802.16,1797.95,1804.4,1790.32
12/3/2022,1797.95,1797.95,1797.95,1797.95
12/4/2022,1797.95,1797.94,1797.95,1797.94
12/5/2022,1795.3,1767.05,1809.76,1765.7
